2024-09-14 17:23:49 - INFO - Rank: 55, Title: Look Back, Rating: 8.71, Episodes: 1, Type: Movie , Aired: Jun 2024 - Jun 2024
2024-09-14 17:23:49 - INFO - Rank: 56, Title: Mob Psycho 100 III, Rating: 8.71, Episodes: 1, Type: TV , Aired: Oct 2022 - Dec 2022
2024-09-14 17:23:49 - INFO - Rank: 57, Title: Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen, Rating: 8.71, Episodes: 1, Type: TV , Aired: Jan 2017 - Mar 2017
2024-09-14 17:23:49 - INFO - Rank: 58, Title: 86 Part 2, Rating: 8.71, Episodes: 1, Type: TV , Aired: Oct 2021 - Mar 2022
2024-09-14 17:23:49 - INFO - Rank: 59, Title: Code Geass: Hangyaku no Lelouch, Rating: 8.70, Episodes: 2, Type: TV , Aired: Oct 2006 - Jul 2007
2024-09-14 17:23:49 - INFO - Rank: 60, Title: Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen, Rating: 8.70, Episodes: 4, Type: OVA , Aired: Feb 1999 - Sep 1999
2024-09-14 17:23:49 - INFO - Rank: 61, Title: Mushishi Zoku Shou, Rating: 8.69, Episodes: 1, Type: TV , Aired: Apr 2014 - Jun 2014
2024-09-14 17:23:49 - INFO - Rank: 62, Title: Bleach: Sennen Kessen-hen - Ketsubetsu-tan, Rating: 8.69, Episodes: 1, Type: TV , Aired: Jul 2023 - Sep 2023
2024-09-14 17:23:49 - INFO - Rank: 63, Title: Great Teacher Onizuka, Rating: 8.69, Episodes: 4, Type: TV , Aired: Jun 1999 - Sep 2000
2024-09-14 17:23:49 - INFO - Rank: 64, Title: Mo Dao Zu Shi: Wanjie Pian, Rating: 8.68, Episodes: 1, Type: ONA , Aired: Aug 2021 - Oct 2021
2024-09-14 17:23:49 - INFO - Rank: 65, Title: Violet Evergarden, Rating: 8.68, Episodes: 1, Type: TV , Aired: Jan 2018 - Apr 2018
2024-09-14 17:23:49 - INFO - Rank: 66, Title: Tian Guan Cifu Er, Rating: 8.67, Episodes: 1, Type: ONA , Aired: Oct 2023 - Jan 2024
2024-09-14 17:23:49 - INFO - Rank: 67, Title: Hajime no Ippo: New Challenger, Rating: 8.67, Episodes: 2, Type: TV , Aired: Jan 2009 - Jul 2009
2024-09-14 17:23:49 - INFO - Rank: 68, Title: Howl no Ugoku Shiro, Rating: 8.67, Episodes: 1, Type: Movie , Aired: Nov 2004 - Nov 2004
2024-09-14 17:23:49 - INFO - Rank: 69, Title: Haikyuu!! Movie: Gomisuteba no Kessen, Rating: 8.66, Episodes: 1, Type: Movie , Aired: Feb 2024 - Feb 2024
2024-09-14 17:23:49 - INFO - Rank: 70, Title: Mononoke Hime, Rating: 8.66, Episodes: 1, Type: Movie , Aired: Jul 1997 - Jul 1997
2024-09-14 17:23:49 - INFO - Rank: 71, Title: Odd Taxi, Rating: 8.66, Episodes: 1, Type: TV , Aired: Apr 2021 - Jun 2021
2024-09-14 17:23:49 - INFO - Rank: 72, Title: Mushishi, Rating: 8.65, Episodes: 2, Type: TV , Aired: Oct 2005 - Jun 2006
2024-09-14 17:23:49 - INFO - Rank: 73, Title: Mushoku Tensei: Isekai Ittara Honki Dasu Part 2, Rating: 8.65, Episodes: 1, Type: TV , Aired: Oct 2021 - Dec 2021
2024-09-14 17:23:49 - INFO - Rank: 74, Title: Fate/stay night Movie: Heaven's Feel - III. Spring Song, Rating: 8.65, Episodes: 1, Type: Movie , Aired: Aug 2020 - Aug 2020
2024-09-14 17:23:49 - INFO - Rank: 75, Title: Bungou Stray Dogs 5th Season, Rating: 8.64, Episodes: 1, Type: TV , Aired: Jul 2023 - Sep 2023
