Title,English Name,Type,Episodes,Genres,Ranked,Aired,Streaming Platforms,Rating
Berserk: Ougon Jidai-hen I - Haou no Tamago,,Movie,1.0,,,2012-2012,,7.71
BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,,ONA,2.0,,,2022-2022,,7.71
Arakawa Under the Bridge x Bridge,,TV,1.0,,,2010-2010,,7.71
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",,OVA,1.0,,,2016-2016,,7.71
Ojamajo Doremi Dokkaan!,,TV,5.0,,,2002-2002,,7.71
Noragami OVA,,OVA,2.0,,,2014-2014,,7.71
Monsters: Ippyaku Sanjou Hiryuu Jigoku,,ONA,1.0,,,2024-2024,,7.71
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",,Special,1.0,,,2017-2017,,7.71
Jinrui wa Suitai Shimashita,,TV,1.0,,,2012-2012,,7.71
Kuroko no Basket 2nd Season NG-shuu,,Special,9.0,,,2014-2014,,7.71
Summer Wars,,Movie,1.0,,,2009-2009,,7.71
Psycho-Pass Movie,,Movie,1.0,,,2015-2015,,7.7
The Seven Deadly Sins,,,,,,2014-2014,,7.7
Meitantei Conan Movie 16: 11-ninme no Striker,,Movie,1.0,,,2012-2012,,7.7
New Game!!,,TV,1.0,,,2017-2017,,7.7
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,,TV,,,,2015-2015,,7.7
One Punch Man Specials,,Special,6.0,,,2015-2015,,7.7
One Punch Man: Road to Hero,,OVA,1.0,,,2015-2015,,7.7
Princess Principal: Crown Handler Movie 2,,Movie,1.0,,,2021-2021,,7.7
Ai no Utagoe wo Kikasete,,Movie,1.0,,,2021-2021,,7.7
School Rumble: Ichi Gakki Hoshuu,,OVA,2.0,,,2005-2005,,7.7
Keroro Gunsou,,TV,3.0,,,2004-2004,,7.7
BanG Dream! Film Live,,Movie,1.0,,,2019-2019,,7.7
BanG Dream! Garupa☆Pico Fever!,,ONA,2.0,,,2021-2021,,7.7
Break Blade Movie 2: Ketsubetsu no Michi,,Movie,1.0,,,2010-2010,,7.7
Chuunibyou demo Koi ga Shitai!,,TV,1.0,,,2012-2012,,7.7
Dragon Ball Kai (2014),,TV,6.0,,,2014-2014,,7.7
Gekkan Shoujo Nozaki-kun Specials,,Special,6.0,,,2014-2014,,7.7
Karakai Jouzu no Takagi-san,,TV,1.0,,,2018-2018,,7.7
Haikyuu!! Lev Genzan!,,OVA,1.0,,,2015-2015,,7.7
Macross Plus,,OVA,4.0,,,1994-1994,,7.7
Macross Plus Movie Edition,,Movie,1.0,,,1995-1995,,7.7
Joshikousei no Mudazukai,,TV,1.0,,,2019-2019,,7.7
The Pet Girl of Sakurasou,,,,,,2012-2012,,7.7
Porco Rosso,,,,,,1992-1992,,7.7
Dota: Dragon's Blood,,,,,,2021-2021,,7.7
My Happy Marriage,,,,,,2023-2023,,7.7
The Girl Who Leapt Through Time,,,,,,2006-2006,,7.7
TONIKAWA: Over the Moon for You,,,,,,2020-2020,,7.7
Uramichi Oniisan,,TV,1.0,,,2021-2021,,7.7
Boruto: Naruto the Movie,,,,,,2015-2015,,7.7
Sword of the Stranger,,,,,,2007-2007,,7.7
Spice and Wolf,,,,,,2008-2008,,7.7
Classroom of the Elite,,,,,,2017-2017,,7.7
The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,,,,,,2023-2023,,7.7
Tetsuwan Birdy Decode:02,,TV,1.0,,,2009-2009,,7.7
Shigatsu wa Kimi no Uso: Moments,,OVA,1.0,,,2015-2015,,7.69
The iDOLM@STER Cinderella Girls: U149,,TV,1.0,,,2023-2023,,7.69
Hourou Musuko,,TV,1.0,,,2011-2011,,7.69
Asagao to Kase-san.,,OVA,1.0,,,2018-2018,,7.69
IDOLiSH7,,TV,1.0,,,2018-2018,,7.69
Hanasakeru Seishounen,,TV,3.0,,,2009-2009,,7.69
Tiger & Bunny Movie 2: The Rising,,Movie,1.0,,,2014-2014,,7.69
Watashi no Ashinaga Ojisan,,TV,4.0,,,1990-1990,,7.69
Wu Dong Qian Kun 2nd Season,,ONA,1.0,,,2020-2020,,7.69
Junjou Romantica OVA,,OVA,2.0,,,2012-2012,,7.69
Kyousou Giga (TV),,TV,1.0,,,2013-2013,,7.69
Nurarihyon no Mago OVA,,OVA,2.0,,,2012-2012,,7.69
Pokemon Concierge,,ONA,4.0,,,2023-2023,,7.69
Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,,Movie,1.0,,,1994-1994,,7.69
Hakumei to Mikochi,,TV,1.0,,,2018-2018,,7.69
Date A Live V,,TV,1.0,,,2024-2024,,7.69
Ani ni Tsukeru Kusuri wa Nai! 3,,TV,1.0,,,2019-2019,,7.69
D.Gray-man Hallow,,TV,1.0,,,2016-2016,,7.68
Ichigo Mashimaro Encore,,OVA,2.0,,,2009-2009,,7.68
Seitokai Yakuindomo*,,TV,1.0,,,2014-2014,,7.68
Aria the Animation,,TV,1.0,,,2005-2005,,7.68
Bakuten!! Movie,,Movie,1.0,,,2022-2022,,7.68
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",,TV,1.0,,,2015-2015,,7.68
Hakuouki Movie 2: Shikon Soukyuu,,Movie,1.0,,,2014-2014,,7.68
Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,,Movie,1.0,,,2022-2022,,7.68
Isekai Shokudou 2,,TV,1.0,,,2021-2021,,7.68
Overlord Movie 2: Shikkoku no Eiyuu,,Movie,1.0,,,2017-2017,,7.68
Uchuu Kaizoku Captain Herlock,,TV,4.0,,,1978-1978,,7.68
Xingchen Bian: Po Tian Mi Ju,,ONA,1.0,,,2022-2022,,7.68
Yao Shen Ji 6th Season,,ONA,5.0,,,2023-2023,,7.68
"Yuru Yuri,",,OVA,1.0,,,2019-2019,,7.68
Princess Principal,,TV,1.0,,,2017-2017,,7.68
Princess Sara,,TV,4.0,,,1985-1985,,7.68
Naruto: Shippuuden Movie 6 - Road to Ninja,,Movie,1.0,,,2012-2012,,7.68
Kill la Kill Specials,,Special,2.0,,,2014-2014,,7.68
Beelzebub,,TV,6.0,,,2011-2011,,7.68
Devilman: Crybaby,,ONA,1.0,,,2018-2018,,7.68
Elfen Lied,,TV,1.0,,,2004-2004,,7.68
Junjou Romantica 2,,TV,1.0,,,2008-2008,,7.68
Muumindani no Suisei,,Movie,1.0,,,1992-1992,,7.68
Kidou Keisatsu Patlabor: On Television,,TV,4.0,,,1989-1989,,7.68
Kakushigoto Movie,,Movie,1.0,,,2021-2021,,7.68
Koutetsujou no Kabaneri Movie 3: Unato Kessen,,Movie,1.0,,,2019-2019,,7.68
Little Busters! EX,,Special,8.0,,,2014-2014,,7.68
Love Live! Superstar!! 2nd Season,,TV,1.0,,,2022-2022,,7.68
Mahouka Koukou no Rettousei: Tsuioku-hen,,TV,,,,2021-2021,,7.68
Meitantei Conan Movie 21: Karakurenai no Love Letter,,Movie,1.0,,,2017-2017,,7.68
Oniichan wa Oshimai!,,TV,1.0,,,2023-2023,,7.67
Kanojo to Kanojo no Neko: Everything Flows,,TV,4.0,,,2016-2016,,7.67
Meitantei Conan Movie 17: Zekkai no Private Eye,,Movie,1.0,,,2013-2013,,7.67
Luo Xiao Hei Zhan Ji,,ONA,2.0,,,2011-2011,,7.67
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,,TV,1.0,,,2022-2022,,7.67
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,,Movie,1.0,,,2007-2007,,7.67
Kidou Senshi Gundam: Gyakushuu no Char,,Movie,1.0,,,1988-1988,,7.67
Kengan Ashura Part 2,,ONA,1.0,,,2019-2019,,7.67
Macross F: Close Encounter - Deculture Edition,,Special,1.0,,,2007-2007,,7.67
Kami nomi zo Shiru Sekai: Tenri-hen,,OVA,2.0,,,2012-2012,,7.67
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,,TV,6.0,,,2017-2017,,7.67
Tsurune: Kazemai Koukou Kyuudou-bu,,TV,1.0,,,2018-2018,,7.67
Soukou Kihei Votoms,,TV,5.0,,,1983-1983,,7.67
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,,TV,1.0,,,2017-2017,,7.67
Shin Kidou Senki Gundam Wing,,TV,4.0,,,1995-1995,,7.67
3D Kanojo: Real Girl 2nd Season,,TV,1.0,,,2019-2019,,7.67
Saint Seiya: Meiou Hades Juuni Kyuu-hen - Yomigaerishi Gold Saint-tachi no Shinwa,,Special,2.0,,,2003-2003,,7.67
Kuroko no Basket 3rd Season NG-shuu,,Special,9.0,,,2015-2015,,7.67
Baka to Test to Shoukanjuu Ni!,,TV,1.0,,,2011-2011,,7.67
Chi's Sweet Home,,TV,1.0,,,2008-2008,,7.67
Doupo Cangqiong 2nd Season Specials,,ONA,3.0,,,2019-2019,,7.67
Ichigo Mashimaro OVA,,OVA,3.0,,,2007-2007,,7.67
InuYasha Movie 2: Kagami no Naka no Mugenjou,,Movie,1.0,,,2002-2002,,7.67
Break Blade Movie 6: Doukoku no Toride,,Movie,1.0,,,2011-2011,,7.67
Monogatari Series: Off & Monster Season - Zankoku Douwa: Utsukushi-hime,,ONA,1.0,,,2024-2024,,7.66
Space Cobra,,TV,3.0,,,1982-1982,,7.66
Tenkuu no Escaflowne,,TV,2.0,,,1996-1996,,7.66
Toaru Kagaku no Railgun,,TV,2.0,,,2009-2009,,7.66
Kindaichi Shounen no Jikenbo Returns 2nd Season,,TV,2.0,,,2015-2015,,7.66
Kui Cheng Shoufu Cong Youxi Kaishi,,ONA,1.0,,,2024-2024,,7.66
Rilakkuma to Kaoru-san,,ONA,1.0,,,2019-2019,,7.66
Pokemon Movie 01: Mewtwo no Gyakushuu,,Movie,1.0,,,1998-1998,,7.66
Shoujo Kakumei Utena: Adolescence Mokushiroku,,Movie,1.0,,,1999-1999,,7.66
Rurouni Kenshin DVD-BOX Special Ending,,Special,1.0,,,2007-2007,,7.66
Seto no Hanayome,,TV,2.0,,,2007-2007,,7.66
Inuyashiki,,TV,1.0,,,2017-2017,,7.66
Shoujo☆Kageki Revue Starlight,,TV,1.0,,,2018-2018,,7.66
Mousou Dairinin,,TV,1.0,,,2004-2004,,7.66
Initial D Battle Stage 2,,OVA,1.0,,,2007-2007,,7.66
Bungou Stray Dogs: Hitori Ayumu,,OVA,1.0,,,2017-2017,,7.66
Hayate no Gotoku!!,,TV,2.0,,,2009-2009,,7.66
Akebi-chan no Sailor-fuku,,TV,1.0,,,2022-2022,,7.66
Aoi Bungaku Series,,TV,1.0,,,2009-2009,,7.66
Binbougami ga!,,TV,1.0,,,2012-2012,,7.66
ACCA: 13-ku Kansatsu-ka,,TV,1.0,,,2017-2017,,7.66
Cardcaptor Sakura: Clear Card-hen,,TV,2.0,,,2018-2018,,7.66
Dakaretai Otoko 1-i ni Odosarete Imasu. Movie: Spain-hen,,Movie,1.0,,,2021-2021,,7.66
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,,Special,1.0,,,2015-2015,,7.66
Hanma Baki: Son of Ogre,,ONA,1.0,,,2021-2021,,7.66
Evangelion Movie 3: Q,,Movie,1.0,,,2012-2012,,7.65
Hai to Gensou no Grimgar,,TV,1.0,,,2016-2016,,7.65
Dekiru Neko wa Kyou mo Yuuutsu,,TV,1.0,,,2023-2023,,7.65
Code Geass: Hangyaku no Lelouch II - Handou,,Movie,1.0,,,2018-2018,,7.65
Bokura wa Minna Kawai-sou,,TV,1.0,,,2014-2014,,7.65
Fairy Tail (2014),,TV,1.0,,,2014-2014,,7.65
Arslan Senki (TV),,TV,2.0,,,2015-2015,,7.65
Xing Yu Siwan Nian,,ONA,1.0,,,2022-2022,,7.65
Tsuritama,,TV,1.0,,,2012-2012,,7.65
Tondemo Skill de Isekai Hourou Meshi,,TV,1.0,,,2023-2023,,7.65
Tokyo Revengers: Seiya Kessen-hen,,TV,1.0,,,2023-2023,,7.65
Shirobako Movie,,Movie,1.0,,,2020-2020,,7.65
Mitsudomoe Zouryouchuu!,,TV,8.0,,,2011-2011,,7.65
Ansatsu Kyoushitsu: Kagaijugyou-hen,,ONA,8.0,,,2016-2016,,7.65
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,,TV,1.0,,,2024-2024,,7.65
Seikai no Senki,,TV,1.0,,,2000-2000,,7.65
Non Non Biyori: Okinawa e Ikukoto ni Natta,,OVA,1.0,,,2014-2014,,7.65
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,,OVA,1.0,,,2019-2019,,7.65
Meitantei Conan Movie 10: Tantei-tachi no Requiem Recap,,TV,,,,2006-2006,,7.65
Mahou Shoujo ni Akogarete,,TV,1.0,,,2024-2024,,7.65
Kuroshitsuji,,TV,2.0,,,2008-2008,,7.65
Kuroko no Basket NG-shuu,,Special,9.0,,,2012-2012,,7.65
Kimi to Boku.,,TV,1.0,,,2011-2011,,7.65
Giovanni no Shima,,Movie,1.0,,,2014-2014,,7.65
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,,Special,1.0,,,2006-2006,,7.65
Free! Movie 2: Timeless Medley - Yakusoku,,Movie,1.0,,,2017-2017,,7.65
Date A Bullet: Nightmare or Queen,,Movie,1.0,,,2020-2020,,7.64
Digimon Tamers,,TV,5.0,,,2001-2001,,7.64
Pandora Hearts,,TV,2.0,,,2009-2009,,7.64
Hachimitsu to Clover Specials,,Special,2.0,,,2005-2005,,7.64
Gokinjo Monogatari,,TV,5.0,,,1995-1995,,7.64
Gakuen Alice,,TV,2.0,,,2004-2004,,7.64
Drifters: Special Edition,,OVA,1.0,,,2016-2016,,7.64
Doupo Cangqiong Specials,,ONA,2.0,,,2017-2017,,7.64
Doupo Cangqiong 2nd Season,,ONA,1.0,,,2018-2018,,7.64
Chibi Maruko-chan,,TV,1.0,,,1990-1990,,7.64
Arashi no Yoru ni,,Movie,1.0,,,2005-2005,,7.64
Aggressive Retsuko (ONA),,ONA,1.0,,,2018-2018,,7.64
Rokuhou-dou Yotsuiro Biyori,,TV,1.0,,,2018-2018,,7.64
Psycho-Pass Movie: Providence,,Movie,1.0,,,2023-2023,,7.64
5-toubun no Hanayome,,TV,1.0,,,2019-2019,,7.64
Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,,Special,1.0,,,2013-2013,,7.64
Minami-ke,,TV,1.0,,,2007-2007,,7.64
Machikado Mazoku,,TV,1.0,,,2019-2019,,7.64
Kidou Senshi Gundam Unicorn RE:0096,,TV,2.0,,,2016-2016,,7.64
Kengan Ashura Season 2,,ONA,1.0,,,2023-2023,,7.64
Kami nomi zo Shiru Sekai,,TV,1.0,,,2010-2010,,7.64
Minami-ke Tadaima,,TV,1.0,,,2013-2013,,7.64
Jujutsu Kaisen 2nd Season Recaps,,TV,,,,2023-2023,,7.64
Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,,TV,6.0,,,2017-2017,,7.64
Working!!,,TV,1.0,,,2010-2010,,7.64
Shin Mazinger Shougeki! Z-hen,,TV,2.0,,,2009-2009,,7.64
Yama no Susume: Next Summit,,TV,1.0,,,2022-2022,,7.63
Kimagure Orange☆Road: Ano Hi ni Kaeritai,,Movie,1.0,,,1988-1988,,7.63
Yowamushi Pedal: New Generation,,TV,2.0,,,2017-2017,,7.63
Tong Ling Fei,,ONA,1.0,,,2018-2018,,7.63
Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,,Movie,1.0,,,2022-2022,,7.63
Luo Xiao Hei Zhan Ji: Zhongsheng Zhi Men,,ONA,1.0,,,2021-2021,,7.63
Layton Kyouju to Eien no Utahime,,Movie,1.0,,,2009-2009,,7.63
Flip Flappers,,TV,1.0,,,2016-2016,,7.63
Nanatsu no Taizai,,TV,2.0,,,2014-2014,,7.63
Nejimaki Seirei Senki: Tenkyou no Alderamin,,TV,1.0,,,2016-2016,,7.63
Nezha Zhi Mo Tong Jiang Shi,,Movie,1.0,,,2019-2019,,7.63
Poyopoyo Kansatsu Nikki,,TV,5.0,,,2012-2012,,7.63
Ranma ½ Super,,OVA,3.0,,,1995-1995,,7.63
Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,,Movie,1.0,,,1995-1995,,7.63
Sugar Apple Fairy Tale Part 2,,TV,1.0,,,2023-2023,,7.63
Bai Yao Pu 3rd Season,,ONA,1.0,,,2022-2022,,7.63
Sidonia no Kishi,,TV,1.0,,,2014-2014,,7.63
Daa! Daa! Daa!,,TV,7.0,,,2000-2000,,7.63
Ao Haru Ride,,TV,1.0,,,2014-2014,,7.63
Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... desu ka!?,,Movie,1.0,,,2010-2010,,7.63
Bounen no Xamdou,,ONA,2.0,,,2008-2008,,7.63
Cardcaptor Sakura Movie 1,,Movie,1.0,,,1999-1999,,7.63
Bokura wa Minna Kawai-sou: Hajimete no,,Special,1.0,,,2015-2015,,7.63
Genshiken,,TV,1.0,,,2004-2004,,7.63
Gensou Mangekyou: The Memories of Phantasm,,OVA,1.0,,,2011-2011,,7.63
Hanhua Riji 3rd Season,,ONA,1.0,,,2022-2022,,7.63
Bleach Movie 4: Jigoku-hen,,Movie,1.0,,,2010-2010,,7.62
Free!: FrFr - Short Movie,,Special,7.0,,,2013-2013,,7.62
Bishoujo Senshi Sailor Moon SuperS,,TV,3.0,,,1995-1995,,7.62
Break Blade Movie 1: Kakusei no Toki,,Movie,1.0,,,2010-2010,,7.62
Diamond no Ace: Second Season OVA,,OVA,2.0,,,2016-2016,,7.62
Doraemon Movie 07: Nobita to Tetsujin Heidan,,Movie,1.0,,,1986-1986,,7.62
Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,,Movie,1.0,,,2007-2007,,7.62
Doupo Cangqiong: Yuanqi,,ONA,3.0,,,2022-2022,,7.62
D4DJ First Mix,,TV,1.0,,,2020-2020,,7.62
Genshiken OVA,,OVA,3.0,,,2006-2006,,7.62
Heion Sedai no Idaten-tachi,,TV,1.0,,,2021-2021,,7.62
Hirogaru Sky! Precure,,TV,5.0,,,2023-2023,,7.62
Ichigo Mashimaro,,TV,1.0,,,2005-2005,,7.62
Sexy Commando Gaiden: Sugoi yo!! Masaru-san,,TV,4.0,,,1998-1998,,7.62
Shingeki no Kyojin Season 3 Specials,,Special,7.0,,,2018-2018,,7.62
Aggressive Retsuko,,TV,1.0,,,2016-2016,,7.62
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,,OVA,2.0,,,2017-2017,,7.62
AKB0048: Next Stage,,TV,1.0,,,2013-2013,,7.62
Sekaiichi Hatsukoi,,TV,1.0,,,2011-2011,,7.62
Servant x Service,,TV,1.0,,,2013-2013,,7.62
Meitantei Conan Movie 09: Suihei Senjou no Strategy Recap,,TV,,,,2005-2005,,7.62
K: Missing Kings,,Movie,1.0,,,2014-2014,,7.62
Koyomimonogatari,,ONA,1.0,,,2016-2016,,7.62
Kyou kara Maou!,,TV,7.0,,,2004-2004,,7.62
Kyoukai no Kanata: Shinonome,,Special,1.0,,,2014-2014,,7.62
Maria-sama ga Miteru: Haru,,TV,1.0,,,2004-2004,,7.62
Mashle,,TV,1.0,,,2023-2023,,7.62
Lupin III,,TV,2.0,,,1971-1971,,7.62
Orange,,TV,1.0,,,2016-2016,,7.62
Osomatsu-san 2nd Season,,TV,2.0,,,2017-2017,,7.62
Overlord Movie 1: Fushisha no Ou,,Movie,1.0,,,2017-2017,,7.62
Sasaki to Miyano: Koi ni Kizuku Mae no Chotto Shita Hanashi.,,OVA,1.0,,,2022-2022,,7.62
Seikai no Monshou,,TV,1.0,,,1999-1999,,7.62
Seikai no Senki III,,OVA,2.0,,,2005-2005,,7.62
Blood+,,TV,5.0,,,2005-2005,,7.61
Meitantei Conan: Conan vs. Kid - Shark & Jewel,,Movie,1.0,,,2005-2005,,7.61
Owari no Seraph: Nagoya Kessen-hen,,TV,1.0,,,2015-2015,,7.61
Persona 3 the Movie 2: Midsummer Knight's Dream,,Movie,1.0,,,2014-2014,,7.61
Piano no Mori,,Movie,1.0,,,2007-2007,,7.61
Princess Principal: Crown Handler Movie 3,,Movie,1.0,,,2023-2023,,7.61
Puparia,,ONA,1.0,,,2020-2020,,7.61
R.O.D: Read or Die,,OVA,3.0,,,2001-2001,,7.61
Rozen Maiden: Träumend,,TV,1.0,,,2005-2005,,7.61
Senki Zesshou Symphogear AXZ,,TV,1.0,,,2017-2017,,7.61
Gakkougurashi!,,TV,1.0,,,2015-2015,,7.61
Digimon Adventure tri. 3: Kokuhaku,,Movie,1.0,,,2016-2016,,7.61
Eikoku Koi Monogatari Emma,,TV,1.0,,,2005-2005,,7.61
Feng Ling Yu Xiu 2nd Season,,ONA,1.0,,,2023-2023,,7.61
Free! Eternal Summer,,TV,1.0,,,2014-2014,,7.61
Fune wo Amu,,TV,1.0,,,2016-2016,,7.61
Fushigi Yuugi,,TV,5.0,,,1995-1995,,7.61
Gabriel DropOut Specials,,Special,2.0,,,2017-2017,,7.61
Master Keaton,,TV,2.0,,,1998-1998,,7.61
Hakkenden: Touhou Hakken Ibun 2nd Season,,TV,1.0,,,2013-2013,,7.61
Jigoku Shoujo Mitsuganae,,TV,2.0,,,2008-2008,,7.61
Memories,,Movie,3.0,,,1995-1995,,7.61
Konnichiwa Anne: Before Green Gables,,TV,3.0,,,2009-2009,,7.61
Mahou Shoujo Lyrical Nanoha StrikerS,,TV,2.0,,,2007-2007,,7.61
Trapp Ikka Monogatari,,TV,4.0,,,1991-1991,,7.61
Shingeki no Bahamut: Genesis,,TV,1.0,,,2014-2014,,7.61
Shinigami Bocchan to Kuro Maid 2nd Season,,TV,1.0,,,2023-2023,,7.61
Soukyuu no Fafner: Dead Aggressor - Exodus Part 2,,TV,1.0,,,2015-2015,,7.61
Tamayura: Sotsugyou Shashin Part 1 - Kizashi,,Movie,1.0,,,2015-2015,,7.61
Tenchi Muyou! Ryououki,,OVA,6.0,,,1992-1992,,7.61
Madogiwa no Totto-chan,,Movie,1.0,,,2023-2023,,7.61
The iDOLM@STER,,TV,2.0,,,2011-2011,,7.61
The iDOLM@STER Movie: Kagayaki no Mukougawa e!,,Movie,1.0,,,2014-2014,,7.61
Tenchi Muyou! Ryououki 2nd Season,,OVA,6.0,,,1994-1994,,7.61
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,,Movie,1.0,,,2019-2019,,7.61
Juubee Ninpuuchou,,Movie,1.0,,,1993-1993,,7.61
K: Seven Stories Movie 5 - Memory of Red - Burn,,Movie,1.0,,,2018-2018,,7.61
"Kimi to, Nami ni Noretara",,Movie,1.0,,,2019-2019,,7.61
Kishibe Rohan wa Ugokanai,,OVA,4.0,,,2017-2017,,7.61
Kitarou Tanjou: Gegege no Nazo,,Movie,1.0,,,2023-2023,,7.61
Utawarerumono,,TV,2.0,,,2006-2006,,7.61
Kimitachi wa Dou Ikiru ka,,Movie,1.0,,,2023-2023,,7.6
Dragon Ball Z: Fusion Reborn,,,,,,1995-1995,,7.6
Battle of the Planets,,,,,,1978-1978,,7.6
Manga de Wakaru! Fate/Grand Order,,TV,,,,2018-2018,,7.6
Kino no Tabi: The Beautiful World - The Animated Series,,TV,1.0,,,2017-2017,,7.6
Junjou Romantica 3,,TV,1.0,,,2015-2015,,7.6
Yama no Susume Third Season,,TV,1.0,,,2018-2018,,7.6
White Album 2,,TV,1.0,,,2013-2013,,7.6
The Boy and the Beast,,,,,,2015-2015,,7.6
Kareshi Kanojo no Jijou,,TV,2.0,,,1998-1998,,7.6
Campfire Cooking in Another World with My Absurd Skill,,,,,,2023-2023,,7.6
Ojamajo Carnival!!,,ONA,1.0,,,2024-2024,,7.6
The Angel Next Door Spoils Me Rotten,,,,,,2023-2023,,7.6
Tomo-chan Is a Girl!,,,,,,2023-2023,,7.6
Lupin III: The Castle of Cagliostro,,,,,,1979-1979,,7.6
"No Game, No Life",,,,,,2014-2014,,7.6
Only Yesterday,,,,,,1991-1991,,7.6
The Quintessential Quintuplets,,,,,,2019-2019,,7.6
When Marnie Was There,,,,,,2014-2014,,7.6
Pokémon Horizons: The Series,,,,,,2023-2023,,7.6
Vampire Hunter D: Bloodlust,,,,,,2000-2000,,7.6
Pokémon,,,,,,1997-1997,,7.6
Tonikaku Kawaii 2nd Season,,TV,1.0,,,2023-2023,,7.6
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),,TV,2.0,,,2023-2023,,7.6
Top wo Nerae 2! Diebuster,,OVA,6.0,,,2004-2004,,7.6
Jungle wa Itsumo Hare nochi Guu Final,,OVA,7.0,,,2003-2003,,7.6
Toaru Hikuushi e no Tsuioku,,Movie,1.0,,,2011-2011,,7.6
Fairy Tail: Final Series,,TV,5.0,,,2018-2018,,7.6
Full Metal Panic!,,TV,2.0,,,2002-2002,,7.6
Aikatsu Stars!,,TV,1.0,,,2016-2016,,7.6
Ani ni Tsukeru Kusuri wa Nai! 4,,TV,1.0,,,2020-2020,,7.6
Asobi Asobase Specials,,Special,2.0,,,2018-2018,,7.6
BanG Dream! Morfonication,,Special,2.0,,,2022-2022,,7.6
Bokura no,,TV,2.0,,,2007-2007,,7.6
Chrno Crusade,,TV,2.0,,,2003-2003,,7.6
Da Wang Rao Ming 2,,ONA,1.0,,,2023-2023,,7.6
Tegamibachi,,TV,2.0,,,2009-2009,,7.6
Doraemon Movie 26: Nobita no Kyouryuu 2006,,Movie,1.0,,,2006-2006,,7.6
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,,Movie,1.0,,,1995-1995,,7.6
Digimon Adventure Movie,,Movie,1.0,,,1999-1999,,7.6
Nurarihyon no Mago,,TV,2.0,,,2010-2010,,7.6
Jigoku Shoujo,,TV,2.0,,,2005-2005,,7.6
Free! Dive to the Future,,TV,1.0,,,2018-2018,,7.6
Free! Movie 1: Timeless Medley - Kizuna,,Movie,1.0,,,2017-2017,,7.6
Hellsing: Digest for Freaks,,OVA,1.0,,,2006-2006,,7.6
High School Fleet Movie,,Movie,1.0,,,2020-2020,,7.6
Huyao Xiao Hongniang: Yue Hong,,ONA,1.0,,,2016-2016,,7.6
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,,Movie,1.0,,,2021-2021,,7.6
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,,Movie,1.0,,,2019-2019,,7.59
Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,,Movie,1.0,,,2020-2020,,7.59
Akiba Meido Sensou,,TV,1.0,,,2022-2022,,7.59
Kuroko no Basket: Mou Ikkai Yarimasen ka,,Special,1.0,,,2014-2014,,7.59
Kekkaishi,,TV,5.0,,,2006-2006,,7.59
Mahoujin Guruguru,,TV,4.0,,,1994-1994,,7.59
Ongaku,,Movie,1.0,,,2020-2020,,7.59
Kekkai Sensen,,TV,1.0,,,2015-2015,,7.59
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,,OVA,1.0,,,2013-2013,,7.59
Uma Musume: Pretty Derby Season 3,,TV,1.0,,,2023-2023,,7.59
Tensura Nikki: Tensei shitara Slime Datta Ken,,TV,1.0,,,2021-2021,,7.59
Soredemo Sekai wa Utsukushii,,TV,1.0,,,2014-2014,,7.59
Tennis no Oujisama: Another Story - Kako to Mirai no Message,,OVA,4.0,,,2009-2009,,7.59
Shixiong A Shixiong,,ONA,1.0,,,2023-2023,,7.59
Persona 3 the Movie 3: Falling Down,,Movie,1.0,,,2015-2015,,7.59
Shinigami Bocchan to Kuro Maid,,TV,1.0,,,2021-2021,,7.59
