Title,English Name,Synonyms,Type,Episodes,Genres,Ranked,Aired,Streaming Platforms,Rating
Howl no Ugoku Shiro,Howl's Moving Castle,,Movie,1.0,"Adventure, Award Winning, Drama, Fantasy, Romance",68.0,"Nov 20, 2004",Netflix,8.67
Haikyuu!! Movie: Gomisuteba no Kessen,Haikyu!! Movie: The Dumpster Battle,Haikyu!! Final Movie,Movie,1.0,,69.0,"Feb 16, 2024",,8.66
Mononoke Hime,Princess Mononoke,Mononoke Hime,Movie,1.0,"Action, Adventure, Award Winning, Fantasy",70.0,"Jul 12, 1997",Netflix,8.66
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,,TV,12.0,"Adventure, Drama, Fantasy, Ecchi",71.0,"Oct 4, 2021 to Dec 20, 2021",Crunchyroll,8.66
Odd Taxi,Odd Taxi,,TV,13.0,"Award Winning, Drama, Mystery, Suspense",72.0,"Apr 6, 2021 to Jun 29, 2021","Crunchyroll, Bahamut Anime Crazy",8.66
Mushishi,Mushi-Shi,,TV,26.0,"Adventure, Mystery, Slice of Life, Supernatural",73.0,"Oct 23, 2005 to Jun 19, 2006","Crunchyroll, Tubi TV",8.65
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Fate/stay night: Heaven's Feel - III. Spring Song,Fate/stay night Movie: Heaven's Feel 3,Movie,1.0,"Action, Fantasy, Supernatural",74.0,"Aug 15, 2020",Netflix,8.65
Bungou Stray Dogs 5th Season,Bungo Stray Dogs 5,,TV,11.0,"Action, Mystery, Supernatural",75.0,"Jul 12, 2023 to Sep 20, 2023",Crunchyroll,8.64
Shigatsu wa Kimi no Uso,Your Lie in April,Kimiuso,TV,22.0,"Drama, Romance",76.0,"Oct 10, 2014 to Mar 20, 2015","Crunchyroll, Netflix",8.64
Made in Abyss,Made in Abyss,,TV,13.0,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",77.0,"Jul 7, 2017 to Sep 29, 2017","Crunchyroll, HIDIVE, Netflix",8.64
Natsume Yuujinchou Shi,Natsume's Book of Friends Season 4,"Natsume Yuujinchou Four, Natsume Yuujinchou 4, Natsume Yujincho 4",TV,13.0,"Slice of Life, Supernatural",78.0,"Jan 3, 2012 to Mar 27, 2012",Crunchyroll,8.64
Boku no Kokoro no Yabai Yatsu 2nd Season,,,TV,1.0,,,,,8.81
Gintama.: Shirogane no Tamashii-hen,,,TV,1.0,,,,,8.81
Jujutsu Kaisen 2nd Season,,,TV,2.0,,,,,8.80
Mob Psycho 100 II,,,TV,1.0,,,,,8.79
Kizumonogatari III: Reiketsu-hen,,,Movie,1.0,,,,,8.78
Shingeki no Kyojin: The Final Season,,,TV,1.0,,,,,8.78
Bocchi the Rock!,,,TV,1.0,,,,,8.77
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,,,TV,1.0,,,,,8.77
Hajime no Ippo,,,TV,7.0,,,,,8.77
Sen to Chihiro no Kamikakushi,,,Movie,1.0,,,,,8.77
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,,,Movie,1.0,,,,,8.76
Monogatari Series: Second Season,,,TV,2.0,,,,,8.76
Shingeki no Kyojin: The Final Season Part 2,,,TV,1.0,,,,,8.76
