Title,English Name,Synonyms,Type,Episodes,Genres,Ranked,Aired,Streaming Platforms,Rating
Hime-chan no Ribbon,,,TV,6.0,,,,,7.45
Hokuto no Ken: Raoh Gaiden Junai-hen,,,Movie,1.0,,,,,7.45
Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,,,Movie,1.0,,,,,7.45
Itsudatte Bokura no Koi wa 10 cm Datta.,,,TV,6.0,,,,,7.45
Shokugeki no Souma: Ni no Sara OVA,,,OVA,2.0,,,,,7.45
Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina,,,OVA,1.0,,,,,7.45
Sidonia no Kishi: Ai Tsumugu Hoshi,,,Movie,1.0,,,,,7.45
Soredemo Machi wa Mawatteiru,,,TV,1.0,,,,,7.45
Suisei no Gargantia,,,TV,1.0,,,,,7.45
Suzumiya Haruhi-chan no Yuuutsu,,,ONA,2.0,,,,,7.45
Taiho Shichau zo,,,OVA,4.0,,,,,7.45
Tennis no Oujisama: Another Story II - Ano Toki no Bokura,,,OVA,4.0,,,,,7.45
The iDOLM@STER: 765 Pro to Iu Monogatari,,,Special,1.0,,,,,7.45
Tsurune Movie: Hajimari no Issha,,,Movie,1.0,,,,,7.45
Xiao Lu He Xiao Lan,,,ONA,7.0,,,,,7.45
Yozakura Quartet: Tsuki ni Naku,,,OVA,3.0,,,,,7.45
Kaleido Star: Aratanaru Tsubasa - Extra Stage,,,OVA,1.0,,,,,7.45
Kara no Kyoukai Movie: Mirai Fukuin - Extra Chorus,,,Special,1.0,,,,,7.45
Kishuku Gakkou no Juliet,,,TV,1.0,,,,,7.45
"Kumo desu ga, Nani ka?",,,TV,2.0,,,,,7.45
Lady Jewelpet,,,TV,5.0,,,,,7.45
Madang-eul Naon Amtalg,,,Movie,1.0,,,,,7.45
Magic Knight Rayearth,,,TV,2.0,,,,,7.45
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,,,Movie,1.0,,,,,7.45
Motto! Ojamajo Doremi,,,TV,5.0,,,,,7.45
Oemojisangjuui,,,ONA,8.0,,,,,7.45
Ojamajo Doremi Sharp,,,TV,4.0,,,,,7.45
Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,,,Special,1.0,,,,,7.45
Saki,,,TV,2.0,,,,,7.45
Senki Zesshou Symphogear GX,,,TV,1.0,,,,,7.45
Joshiraku,,,TV,1.0,,,,,7.44
Kamichu! Specials,,,Special,4.0,,,,,7.44
Kara no Kyoukai Movie 6: Boukyaku Rokuon,,,Movie,1.0,,,,,7.44
Kengan Ashura,,,ONA,1.0,,,,,7.44
Kin no Kuni Mizu no Kuni,,,Movie,1.0,,,,,7.44
Kyuuketsuki Sugu Shinu 2,,,TV,1.0,,,,,7.44
Lady Lady!!,,,TV,2.0,,,,,7.44
Mahou Shoujo Lyrical Nanoha: Reflection,,,Movie,1.0,,,,,7.44
Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,,,Movie,1.0,,,,,7.44
Mini Dragon Specials,,,Special,8.0,,,,,7.44
Omoide Poroporo,,,Movie,1.0,,,,,7.44
Piano no Mori (TV) 2nd Season,,,TV,1.0,,,,,7.44
Psycho-Pass 3,,,TV,8.0,,,,,7.44
Aishiteruze Baby★★,,,TV,2.0,,,,,7.44
Bai Lian Cheng Shen 2nd Season,,,ONA,5.0,,,,,7.44
Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,,,Special,1.0,,,,,7.44
Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,,,Movie,1.0,,,,,7.44
Days: Touin Gakuen-sen!,,,OVA,3.0,,,,,7.44
Digimon Adventure tri. 2: Ketsui,,,Movie,1.0,,,,,7.44
Doraemon Movie 15: Nobita to Mugen Sankenshi,,,Movie,1.0,,,,,7.44
Future GPX Cyber Formula Sin,,,OVA,5.0,,,,,7.44
"Goodbye, Don Glees!",,,Movie,1.0,,,,,7.44
Hetalia World Series,,,ONA,4.0,,,,,7.44
Shakugan no Shana,,,TV,2.0,,,,,7.44
Shigofumi,,,TV,1.0,,,,,7.44
Super Cub,,,TV,1.0,,,,,7.44
Tales of Symphonia The Animation: Tethe'alla-hen,,,OVA,4.0,,,,,7.44
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desu kara,,,OVA,1.0,,,,,7.44
Tonari no Seki-kun Specials,,,Special,2.0,,,,,7.44
Urusei Yatsura Movie 5: Kanketsu-hen,,,Movie,1.0,,,,,7.44
Vinland Saga Season 2: Drowning in the Shadow,,,ONA,1.0,,,,,7.44
Yaoguai Mingdan 2nd Season,,,ONA,2.0,,,,,7.44
Yong Sheng: Qizhuang Shanhe,,,ONA,1.0,,,,,7.44
Yozakura Quartet: Hana no Uta,,,TV,1.0,,,,,7.44
Sora no Otoshimono Forte,,,TV,1.0,,,,,7.43
Steins;Gate: Soumei Eichi no Cognitive Computing,,,ONA,4.0,,,,,7.43
"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, nanode",,,Special,1.0,,,,,7.43
Tegamibachi: Hikari to Ao no Gensou Yawa,,,Special,1.0,,,,,7.43
Tennis no Oujisama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,,,Movie,1.0,,,,,7.43
Tennis no Oujisama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri,,,Movie,1.0,,,,,7.43
To LOVE-Ru Darkness 2nd,,,TV,1.0,,,,,7.43
Tonikaku Kawaii: Kaisou,,,TV,,,,,,7.43
Toradora!: Bentou no Gokui,,,Special,1.0,,,,,7.43
Uchuu no Kishi Tekkaman Blade,,,TV,4.0,,,,,7.43
Wu Dong Qian Kun,,,ONA,1.0,,,,,7.43
Yoru no Kuni,,,ONA,3.0,,,,,7.43
Yowamushi Pedal: Re:Road,,,Movie,1.0,,,,,7.43
Kiniro no Corda: Primo Passo - Hitonatsu no Encore,,,Special,1.0,,,,,7.43
"Kumo no Mukou, Yakusoku no Basho",,,Movie,1.0,,,,,7.43
Meitantei Conan Movie 11: Konpeki no Jolly Roger,,,Movie,1.0,,,,,7.43
Mugen no Juunin: Immortal,,,ONA,2.0,,,,,7.43
Nozomanu Fushi no Boukensha,,,TV,1.0,,,,,7.43
"One Piece Movie 09: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",,,Movie,1.0,,,,,7.43
Oshi ga Budoukan Ittekuretara Shinu,,,TV,1.0,,,,,7.43
Pokemon Evolutions,,,ONA,8.0,,,,,7.43
Rakudai Kishi no Cavalry,,,TV,1.0,,,,,7.43
Saihate no Paladin: Tetsusabi no Yama no Ou,,,TV,1.0,,,,,7.43
Samurai 7,,,TV,2.0,,,,,7.43
Aggressive Retsuko (ONA) 5th Season,,,ONA,1.0,,,,,7.43
Ansatsu Kyoushitsu: Deai no Jikan,,,Special,1.0,,,,,7.43
Bleach Movie 1: Memories of Nobody,,,Movie,1.0,,,,,7.43
Boku no Hero Academia the Movie 3: World Heroes' Mission - Tabidachi,,,Special,1.0,,,,,7.43
Chouyaku Hyakuninisshu: Uta Koi.,,,TV,1.0,,,,,7.43
Dead Dead Demons Dededede Destruction,,,Movie,2.0,,,,,7.43
Digimon Adventure tri. 1: Saikai,,,Movie,1.0,,,,,7.43
Edens Zero 2nd Season,,,TV,2.0,,,,,7.43
Feng Ling Yu Xiu,,,ONA,1.0,,,,,7.43
Gabriel DropOut,,,TV,1.0,,,,,7.43
Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,,,TV,1.0,,,,,7.43
Haiyore! Nyaruko-san F,,,OVA,1.0,,,,,7.43
Hetalia World Series Specials,,,Special,4.0,,,,,7.43
Hetalia: The Beautiful World Specials,,,Special,4.0,,,,,7.43
Houkago Teibou Nisshi,,,TV,1.0,,,,,7.43
Ajin Part 1: Shoudou,,,Movie,1.0,,,,,7.42
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,,,Movie,1.0,,,,,7.42
Captain Tsubasa Season 2: Junior Youth-hen,,,TV,3.0,,,,,7.42
Crayon Shin-chan Movie 29: Mystery Meki! Hana no Tenkasu Gakuen,,,Movie,1.0,,,,,7.42
Darker than Black: Ryuusei no Gemini,,,TV,1.0,,,,,7.42
Fanren Xiu Xian Chuan: Chongzhi Ban,,,ONA,2.0,,,,,7.42
Fukigen na Mononokean,,,TV,1.0,,,,,7.42
Genshiken Nidaime,,,TV,1.0,,,,,7.42
Goblin Slayer,,,TV,1.0,,,,,7.42
Hakuouki: Reimeiroku,,,TV,1.0,,,,,7.42
High School DxD BorN,,,TV,1.0,,,,,7.42
Huyao Xiao Hongniang: Beishan Yaodi,,,ONA,8.0,,,,,7.42
Idoly Pride,,,TV,1.0,,,,,7.42
Shingeki no Bahamut: Virgin Soul,,,TV,2.0,,,,,7.42
Shonan Junai Gumi!,,,OVA,5.0,,,,,7.42
Shugo Chara!! Doki,,,TV,5.0,,,,,7.42
SSSS.Dynazenon,,,TV,1.0,,,,,7.42
Tenchi Muyou!,,,TV,2.0,,,,,7.42
Tenshi na Konamaiki,,,TV,5.0,,,,,7.42
Tiger & Bunny 2,,,ONA,1.0,,,,,7.42
Toradora! Recap,,,OVA,1.0,,,,,7.42
Toshokan Sensou,,,TV,1.0,,,,,7.42
Yokohama Kaidashi Kikou,,,OVA,2.0,,,,,7.42
Zero no Tsukaima F,,,TV,1.0,,,,,7.42
K,,,TV,1.0,,,,,7.42
K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni,,,Movie,1.0,,,,,7.42
Kimi wo Aishita Hitori no Boku e,,,Movie,1.0,,,,,7.42
Kiratto Pri☆chan Season 2,,,TV,5.0,,,,,7.42
"Kore wa Zombie desu ka? of the Dead: Hai, Minotake ni Attemasu",,,OVA,1.0,,,,,7.42
Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,,,Movie,1.0,,,,,7.42
Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone,,,Movie,1.0,,,,,7.42
Koukaku Kidoutai: Shin Movie,,,Movie,1.0,,,,,7.42
Marmalade Boy,,,TV,7.0,,,,,7.42
Meng Qi Shi Shen: Zaijie Liangyuan,,,ONA,1.0,,,,,7.42
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,,,TV,1.0,,,,,7.42
Naruto: Shippuuden Movie 4 - The Lost Tower,,,Movie,1.0,,,,,7.42
Oooku,,,ONA,1.0,,,,,7.42
Otome Youkai Zakuro,,,TV,1.0,,,,,7.42
Paniponi Dash!,,,TV,2.0,,,,,7.42
Pokemon XY,,,TV,9.0,,,,,7.42
Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!,,,Movie,1.0,,,,,7.42
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,,,TV,1.0,,,,,7.42
Salaryman Kintarou,,,TV,2.0,,,,,7.42
Seijo no Maryoku wa Bannou desu Season 2,,,TV,1.0,,,,,7.42
K: Seven Stories Movie 1 - R:B - Blaze,,,Movie,1.0,,,,,7.41
Kiniro no Corda: Primo Passo,,,TV,2.0,,,,,7.41
Lutu Weiji! Sheng Freya Hao Tebie Shijian,,,ONA,1.0,,,,,7.41
Mahou Shoujo Lyrical Nanoha,,,TV,1.0,,,,,7.41
Mardock Scramble: The First Compression,,,Movie,1.0,,,,,7.41
Megami no Café Terrace 2nd Season,,,TV,1.0,,,,,7.41
Meitantei Conan Magic File 3: Shinichi to Ran Mahjong Pai to Tanabata no Omoide,,,OVA,1.0,,,,,7.41
Mitsuboshi Colors,,,TV,1.0,,,,,7.41
Mugen no Ryvius,,,TV,2.0,,,,,7.41
Nodame Cantabile OVA,,,OVA,1.0,,,,,7.41
Pokemon XY: Mega Evolution,,,TV,,,,,,7.41
Pretty Rhythm: Aurora Dream,,,TV,5.0,,,,,7.41
Sakigake!! Otokojuku,,,TV,3.0,,,,,7.41
Senyuu. 2,,,TV,1.0,,,,,7.41
Captain Tsubasa (2018),,,TV,5.0,,,,,7.41
Chou Denji Machine Voltes V,,,TV,4.0,,,,,7.41
City Hunter: The Secret Service,,,TV,,,,,,7.41
Cowboy Bebop: Yose Atsume Blues,,,TV,,,,,,7.41
Doraemon Movie 36: Shin Nobita no Nippon Tanjou,,,Movie,1.0,,,,,7.41
Dragon Ball Z Movie 14: Kami to Kami,,,Movie,1.0,,,,,7.41
Gangsta.,,,TV,1.0,,,,,7.41
Gokudou-kun Manyuuki,,,TV,2.0,,,,,7.41
Gokusen,,,TV,1.0,,,,,7.41
Hanhua Riji,,,ONA,1.0,,,,,7.41
Hetalia: The Beautiful World,,,ONA,2.0,,,,,7.41
High School DxD BorN: Yomigaeranai Fushichou,,,OVA,1.0,,,,,7.41
Hori-san to Miyamura-kun,,,OVA,6.0,,,,,7.41
Ikoku Meiro no Croisée The Animation,,,TV,1.0,,,,,7.41
Jashin-chan Dropkick X,,,TV,1.0,,,,,7.41
Jewelpet Twinkle☆,,,TV,5.0,,,,,7.41
Shinryaku! Ika Musume,,,TV,1.0,,,,,7.41
Simoun,,,TV,2.0,,,,,7.41
Soukyuu no Fafner: Dead Aggressor - The Beyond Part 3,,,Movie,3.0,,,,,7.41
Tales of Symphonia The Animation: Sekai Tougou-hen,,,OVA,3.0,,,,,7.41
"Tamayura: Hitotose - Attakai Kaze no Omoide, nanode",,,Special,1.0,,,,,7.41
Tanaka-kun wa Itsumo Kedaruge Specials,,,Special,7.0,,,,,7.41
Tetsuwan Birdy Decode,,,TV,1.0,,,,,7.41
To LOVE-Ru Darkness,,,TV,1.0,,,,,7.41
Toaru Majutsu no Index Movie: Endymion no Kiseki,,,Movie,1.0,,,,,7.41
Tokyo Ravens,,,TV,2.0,,,,,7.41
Towa no Quon 3: Mugen no Renza,,,Movie,1.0,,,,,7.41
Tsugu Tsugumomo,,,TV,1.0,,,,,7.41
Urusei Yatsura (2022),,,TV,2.0,,,,,7.41
WWW.Working!!,,,TV,1.0,,,,,7.41
Shingeki no Kyojin: Ano Hi Kara,,,TV,,,,,,7.40
Shinreigari,,,TV,2.0,,,,,7.40
Shugo Chara!,,,TV,5.0,,,,,7.40
Shuumatsu Train Doko e Iku?,,,TV,1.0,,,,,7.40
Suki tte Ii na yo.,,,TV,1.0,,,,,7.40
Tamako Market,,,TV,1.0,,,,,7.40
Tenchi Muyou! in Love,,,Movie,1.0,,,,,7.40
Top wo Nerae! & Top wo Nerae 2! Gattai Movie!!,,,Movie,2.0,,,,,7.40
Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai,,,OVA,2.0,,,,,7.40
Yao Shen Ji 4th Season,,,ONA,5.0,,,,,7.40
Yeon-ae Halujeon 2,,,ONA,1.0,,,,,7.40
Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,,,TV,1.0,,,,,7.40
Koi wa Sekai Seifuku no Ato de,,,TV,1.0,,,,,7.40
Kono Sekai no Tanoshimikata: Secret Story Film,,,Movie,1.0,,,,,7.40
Kuroshitsuji II Specials,,,Special,6.0,,,,,7.40
Kyou kara Maou! R,,,OVA,5.0,,,,,7.40
Level E,,,TV,1.0,,,,,7.40
Love Live! School Idol Project,,,TV,1.0,,,,,7.40
Mai-HiME,,,TV,2.0,,,,,7.40
Majimoji Rurumo: Kanketsu-hen,,,OVA,2.0,,,,,7.40
Majo to Yajuu,,,TV,1.0,,,,,7.40
Meitantei Conan OVA 11: London kara no Maru Hi Shirei,,,OVA,1.0,,,,,7.40
Mieruko-chan,,,TV,1.0,,,,,7.40
"New Game! Watashi, Shain Ryokou tte Hajimete nanode...",,,OVA,1.0,,,,,7.40
Nichijou: Nichijou no 0-wa,,,OVA,1.0,,,,,7.40
One Punch Man 2nd Season Specials,,,Special,6.0,,,,,7.40
Pokemon,,,TV,2.0,,,,,7.40
Pokemon (2023),,,TV,,,,,,7.40
Pokemon Legends Arceus: Yuki Hodo Kishi Futaai,,,ONA,3.0,,,,,7.40
Psycho-Pass 2,,,TV,1.0,,,,,7.40
Puchi Pri*Yucie,,,TV,2.0,,,,,7.40
Rozen Maiden,,,TV,1.0,,,,,7.40
Saki: Zenkoku-hen,,,TV,1.0,,,,,7.40
Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu,,,Special,1.0,,,,,7.40
Akazukin Chacha,,,TV,7.0,,,,,7.40
Ano Natsu de Matteru,,,TV,1.0,,,,,7.40
"Benriya Saitou-san, Isekai ni Iku",,,TV,1.0,,,,,7.40
Bokutachi no Remake,,,TV,1.0,,,,,7.40
Brave Story,,,Movie,1.0,,,,,7.40
"Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai",,,Movie,1.0,,,,,7.40
Future GPX Cyber Formula Zero,,,OVA,8.0,,,,,7.40
Gallery Fake,,,TV,3.0,,,,,7.40
Gantz:O,,,Movie,1.0,,,,,7.40
Guilty Crown,,,TV,2.0,,,,,7.40
Higurashi no Naku Koro ni Rei,,,OVA,5.0,,,,,7.40
Ie Naki Ko Remy Specials,,,Special,3.0,,,,,7.40
Initial D Extra Stage 2,,,OVA,1.0,,,,,7.40
Isekai Shokudou,,,TV,1.0,,,,,7.40
Itazura na Kiss,,,TV,2.0,,,,,7.40
Aldnoah.Zero,,,TV,1.0,,,,,7.39
Chobits,,,TV,2.0,,,,,7.39
Cider no You ni Kotoba ga Wakiagaru,,,Movie,1.0,,,,,7.39
Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,,,Movie,1.0,,,,,7.39
D4DJ All Mix,,,TV,1.0,,,,,7.39
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,,,TV,,,,,,7.39
Doraemon,,,TV,2.0,,,,,7.39
Fate/stay night Movie: Unlimited Blade Works,,,Movie,1.0,,,,,7.39
Hakkenden: Touhou Hakken Ibun,,,TV,1.0,,,,,7.39
Hakuouki OVA,,,OVA,2.0,,,,,7.39
Inazuma Eleven: Saikyou Gundan Ogre Shuurai,,,Movie,1.0,,,,,7.39
Soukyuu no Fafner: Dead Aggressor - The Beyond Part 4,,,Movie,3.0,,,,,7.39
Super GALS! Kotobuki Ran,,,TV,5.0,,,,,7.39
Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie,,,Movie,1.0,,,,,7.39
Tensai Ouji no Akaji Kokka Saisei Jutsu,,,TV,1.0,,,,,7.39
Tonari no Seki-kun OVA,,,OVA,1.0,,,,,7.39
Uchuu Senkan Yamato 2,,,TV,2.0,,,,,7.39
Wu Geng Ji Zhi Tianqi,,,ONA,4.0,,,,,7.39
Xian Wang de Richang Shenghuo 2,,,ONA,1.0,,,,,7.39
Yama no Susume: Omoide Present,,,OVA,1.0,,,,,7.39
Yoake Tsugeru Lu no Uta,,,Movie,1.0,,,,,7.39
Yowamushi Pedal: Limit Break,,,TV,2.0,,,,,7.39
Yuu☆Yuu☆Hakusho: Two Shots/Noru ka Soru ka,,,Special,2.0,,,,,7.39
Zero no Tsukaima: Futatsuki no Kishi,,,TV,1.0,,,,,7.39
Zhe Tian,,,ONA,1.0,,,,,7.39
Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,,,Movie,1.0,,,,,7.39
Kingsglaive: Final Fantasy XV,,,Movie,1.0,,,,,7.39
Love Live! Sunshine!!,,,TV,1.0,,,,,7.39
Lupin Zero,,,ONA,6.0,,,,,7.39
Mahou Sensei Negima!: Shiroki Tsubasa Ala Alba,,,OVA,3.0,,,,,7.39
Medaka Box Abnormal,,,TV,1.0,,,,,7.39
Meitantei Conan: Hiiro no Fuzai Shoumei,,,Movie,1.0,,,,,7.39
Minami-ke Omatase,,,OVA,1.0,,,,,7.39
Mirai Nikki (TV),,,TV,2.0,,,,,7.39
Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha,,,Special,1.0,,,,,7.39
Osomatsu-san 3rd Season,,,TV,2.0,,,,,7.39
Osomatsu-san Special,,,Special,1.0,,,,,7.39
Renou Xueyuan,,,ONA,1.0,,,,,7.39
Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu,,,Special,1.0,,,,,7.39
Joshiraku OVA,,,OVA,1.0,,,,,7.38
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,,,TV,1.0,,,,,7.38
Mahouka Koukou no Rettousei,,,TV,2.0,,,,,7.38
Major 2nd,,,TV,2.0,,,,,7.38
Mardock Scramble: The Third Exhaust,,,Movie,1.0,,,,,7.38
Meitantei Holmes,,,TV,2.0,,,,,7.38
Noblesse: Awakening,,,ONA,1.0,,,,,7.38
Sakura Quest,,,TV,2.0,,,,,7.38
3-nen Z-gumi Ginpachi-sensei Announcement Special,,,Special,1.0,,,,,7.38
Aikatsu Stars! Movie,,,Movie,1.0,,,,,7.38
Ajin,,,TV,1.0,,,,,7.38
Alps no Shoujo Heidi,,,TV,5.0,,,,,7.38
Amagami SS+ Plus,,,TV,1.0,,,,,7.38
Aoki Hagane no Arpeggio: Ars Nova Movie 1 - DC,,,Movie,1.0,,,,,7.38
Bartender: Kami no Glass,,,TV,1.0,,,,,7.38
Bishoujo Senshi Sailor Moon SuperS Specials,,,Special,3.0,,,,,7.38
Boruto: Naruto the Movie,,,Movie,1.0,,,,,7.38
Cang Lan Jue Part 2,,,ONA,1.0,,,,,7.38
Chiisana Penguin Lolo no Bouken,,,OVA,3.0,,,,,7.38
Cross Ange: Tenshi to Ryuu no Rondo,,,TV,2.0,,,,,7.38
Doraemon Movie 42: Nobita to Sora no Utopia,,,Movie,1.0,,,,,7.38
Fresh Precure!,,,TV,5.0,,,,,7.38
Grimm Meisaku Gekijou,,,TV,2.0,,,,,7.38
Gunslinger Girl,,,TV,1.0,,,,,7.38
Gunsmith Cats,,,OVA,3.0,,,,,7.38
Hal,,,Movie,1.0,,,,,7.38
Hokuto no Ken: Toki-den,,,OVA,1.0,,,,,7.38
Isekai Quartet,,,TV,1.0,,,,,7.38
Tropical-Rouge! Precure,,,TV,4.0,,,,,7.38
Vandread: The Second Stage,,,TV,1.0,,,,,7.38
X,,,TV,2.0,,,,,7.38
Shark'd,,,ONA,1.0,,,,,7.37
Slayers Evolution-R,,,TV,1.0,,,,,7.37
Soukyuu no Fafner: Dead Aggressor - Exodus,,,TV,1.0,,,,,7.37
Sousou no Frieren: ●● no Mahou,,,ONA,1.0,,,,,7.37
Sunabouzu,,,TV,2.0,,,,,7.37
Taiho Shichau zo The Movie,,,Movie,1.0,,,,,7.37
Taiho Shichau zo: Second Season,,,TV,2.0,,,,,7.37
"Wei, Kanjian Erduo La! 2",,,ONA,1.0,,,,,7.37
Yi Ren Zhi Xia 2,,,ONA,2.0,,,,,7.37
Yozakura Quartet: Hoshi no Umi,,,OVA,3.0,,,,,7.37
Yuusha Keisatsu J-Decker,,,TV,4.0,,,,,7.37
Zoids,,,TV,6.0,,,,,7.37
Kemono Jihen,,,TV,1.0,,,,,7.37
Kidou Senshi Gundam SEED Destiny Final Plus: Erabareta Mirai,,,OVA,1.0,,,,,7.37
Kidou Senshi Gundam SEED: SEED Supernova - Tanekyara Gekijou,,,Special,4.0,,,,,7.37
Kiznaiver,,,TV,1.0,,,,,7.37
Meitantei Conan OVA 06: Kieta Daiya wo Oe! Conan & Heiji VS Kid!,,,OVA,1.0,,,,,7.37
Nanatsu no Umi no Tico,,,TV,3.0,,,,,7.37
RahXephon,,,TV,2.0,,,,,7.37
Saenai Heroine no Sodatekata ♭: Koi to Junjou no Service-kai,,,Special,1.0,,,,,7.37
Saiyuuki Reload Gunlock,,,TV,2.0,,,,,7.37
Scrapped Princess,,,TV,2.0,,,,,7.37
Afro Samurai,,,TV,5.0,,,,,7.37
Ai no Wakakusa Monogatari,,,TV,4.0,,,,,7.37
Aoki Densetsu Shoot!,,,TV,5.0,,,,,7.37
Atashin'chi,,,TV,3.0,,,,,7.37
Ayakashi: Japanese Classic Horror,,,TV,1.0,,,,,7.37
Baby I Love You Daze,,,ONA,1.0,,,,,7.37
Bishoujo Senshi Sailor Moon Memorial,,,OVA,5.0,,,,,7.37
City Hunter: Ai to Shukumei no Magnum,,,Movie,1.0,,,,,7.37
Comic Girls,,,TV,1.0,,,,,7.37
Doraemon Movie 21: Nobita no Taiyou Ou Densetsu,,,Movie,1.0,,,,,7.37
Doraemon Movie 24: Nobita to Fushigi Kaze Tsukai,,,Movie,1.0,,,,,7.37
Doraemon Movie 25: Nobita no Wan Nyan Jikuuden,,,Movie,1.0,,,,,7.37
Fairy Tail Movie 1: Houou no Miko,,,Movie,1.0,,,,,7.37
Flanders no Inu,,,TV,5.0,,,,,7.37
Full Metal Panic! The Second Raid Episode 00,,,TV,,,,,,7.37
Hataraku Saibou!!,,,TV,8.0,,,,,7.37
Hiyoko no Basket Movie: Last Game 0401,,,ONA,1.0,,,,,7.37
Inu x Boku SS,,,TV,1.0,,,,,7.37
Ansatsu Kyoushitsu: 365-nichi no Jikan,,,Movie,1.0,,,,,7.36
Boku no Hero Academia 5th Season,,,TV,2.0,,,,,7.36
Bokutachi wa Benkyou ga Dekinai! Chapel no Kane wa [X] wo Shukufuku Suru,,,OVA,1.0,,,,,7.36
Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,,,Movie,1.0,,,,,7.36
Dakaretai Otoko 1-i ni Odosarete Imasu.,,,TV,1.0,,,,,7.36
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,,,TV,1.0,,,,,7.36
Deca-Dence,,,TV,1.0,,,,,7.36
Doraemon Movie 39: Nobita no Getsumen Tansaki,,,Movie,1.0,,,,,7.36
Freedom,,,OVA,7.0,,,,,7.36
Hakata Tonkotsu Ramens,,,TV,1.0,,,,,7.36
"Hataraku Saibou!! Saikyou no Teki, Futatabi. Karada no Naka wa ""Chou"" Oosawagi!",,,Movie,1.0,,,,,7.36
Heya Camp△,,,TV,1.0,,,,,7.36
High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video,,,Special,6.0,,,,,7.36
Huyao Xiao Hongniang: Qian Yan,,,ONA,1.0,,,,,7.36
Isekai Quartet 2,,,TV,1.0,,,,,7.36
Shakugan no Shana Movie,,,Movie,1.0,,,,,7.36
Shenhai,,,Movie,1.0,,,,,7.36
Shigurui,,,TV,1.0,,,,,7.36
Shin Getter Robo,,,OVA,1.0,,,,,7.36
Shin Kidou Senki Gundam Wing: Operation Meteor,,,OVA,4.0,,,,,7.36
Shiro Seijo to Kuro Bokushi,,,TV,1.0,,,,,7.36
Sketchbook: Full Color's,,,TV,1.0,,,,,7.36
Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,,,Movie,1.0,,,,,7.36
Soukyuu no Fafner: Dead Aggressor - Right of Left,,,TV,,,,,,7.36
Taiyou no Kiba Dagram,,,TV,7.0,,,,,7.36
Tottemo! Luckyman,,,TV,5.0,,,,,7.36
Waga Seishun no Arcadia: Mugen Kidou SSX,,,TV,2.0,,,,,7.36
Whistle!,,,TV,3.0,,,,,7.36
Xingchen Bian: Yu Li Cang Hai,,,ONA,1.0,,,,,7.36
Xue Ying Ling Zhu Zhi Qi Yu Pian,,,ONA,4.0,,,,,7.36
Yao Shen Ji 7th Season,,,ONA,5.0,,,,,7.36
Yowamushi Pedal: Re:Ride,,,Movie,1.0,,,,,7.36
Yuuki Yuuna wa Yuusha de Aru,,,TV,1.0,,,,,7.36
Kaitou Joker 4th Season,,,TV,1.0,,,,,7.36
Karas,,,OVA,6.0,,,,,7.36
Kekkai Sensen: Ousama no Restaurant no Ousama,,,OVA,1.0,,,,,7.36
Kimagure Orange☆Road OVA,,,OVA,8.0,,,,,7.36
Kore wa Zombie desu ka? OVA,,,OVA,2.0,,,,,7.36
Love Stage!!: Chotto ja Nakutte,,,OVA,1.0,,,,,7.36
Meitantei Conan Bonus File: Fantasista no Hana,,,OVA,1.0,,,,,7.36
